0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49
13844,7980,11770,10699,12540,10599,13217,11271,9725,4441,15038,11481,15404,9487,11486,14662,11096,11978,11713,12159,12584,12328,8178,11919,9022,8326,13199,15498,6743,9981,13873,7957,7830,14736,8600,12960,13782,7683,9490,12545,13037,15160,12106,7264,12633,13337,14953,8352,11582,11094
13844,7980,11770,10699,12540,10599,4441,8178,13199,15498,7618,7245,8285,11098,8982,5408,14997,10500,12249,6524,10317,5765,12877,10170,4257,6547,6741,8637,10733,13483,9435,9205,6011,7369,8287,7240,2714,13434,9263,7709,8664,7193,13217,13930,9221,11271,9725,10166,4815,15038
13844,7980,11770,10699,12540,10599,13217,4441,11271,9725,15038,11481,15404,9487,11486,14662,11096,11978,11713,12159,12584,8178,12328,11919,13199,15498,9022,8326,6743,9981,13873,7957,7830,14736,8600,12960,13782,7683,9490,12545,13037,15160,12106,7264,12633,7618,13337,14953,8352,11582
13844,7980,12540,11770,10699,10599,4441,8178,13199,15498,7618,7245,5408,8285,13217,8982,11098,11271,14997,9725,15038,10500,6524,12249,11481,15404,10317,9487,11486,14662,11978,11096,11713,9022,12159,5765,12584,8326,12328,4257,11919,12877,10170,6743,7830,6547,8637,6741,9981,14736
13844,7980,11770,10699,12540,10599,13217,11271,9725,15038,4441,11481,15404,9487,11486,14662,11978,11096,11713,12159,12584,12328,11919,8178,13199,15498,6743,9981,9022,8326,13873,7957,13782,12960,7830,14736,8600,7683,9490,12545,13037,15160,12633,12399,7264,12357,12488,8352,11094,15191
13844,7980,11770,10699,12540,10599,4441,8178,13199,15498,7618,7245,8285,11098,8982,5408,14997,10500,12249,6524,5765,10317,12877,10170,4257,6547,6741,8637,13217,10733,9435,13483,9205,11271,6011,9725,7369,8287,2714,13434,7240,9263,7709,15038,11481,8664,7193,13930,9221,15404
13844,7980,12540,11770,10699,10599,4441,13217,8178,9022,11271,9725,15038,13199,8326,15498,11481,15404,9487,7830,11486,11096,14736,14662,11978,8600,11713,12159,12584,6743,12106,7618,9981,12328,11919,7245,13873,7957,5408,13337,14953,8285,2599,7228,11098,8982,8353,6515,7608,14997
13844,7980,12540,11770,10699,10599,4441,8178,13199,15498,7618,7245,5408,13217,8285,8982,11098,11271,9725,14997,15038,11481,10500,6524,12249,9022,15404,9487,10317,8326,11486,14662,11096,11978,11713,12159,12584,5765,12328,11919,4257,7830,6743,12877,14736,8600,9981,10170,13873,6547
13844,7980,12540,11770,10699,10599,4441,13217,11271,9725,15038,8178,11481,9022,13199,15498,8326,15404,9487,11486,11096,14662,11978,11713,12159,12584,7830,14736,6743,12328,8600,11919,9981,13873,7957,12106,7618,7245,14953,13337,8285,2599,5408,11098,7683,12960,9490,12545,8982,13037
13844,7980,11770,10699,12540,10599,4441,8178,13199,15498,7618,7245,8285,11098,8982,5408,14997,10500,12249,6524,10317,5765,12877,10170,4257,6547,6741,8637,10733,13483,9435,9205,6011,7369,8287,7240,2714,13434,9263,7709,8664,13217,7193,13930,9221,11271,9725,10166,4815,15038
