,UserId,VenueId,TimeZone,Latitude,Longitude,Category,City,CountryCode,Time,Date,Local_Time,L1_Category,RegionId,R_Latitude,R_Longitude,#checked_region,active_regionId_1,active_regionId_2,time_sort,Local_Time_True
23171,92745,4b196b3af964a52000dd23e3,-420,33.479985,-112.077729,Sandwich Place,Phoenix,US,18:09:08,2012403,2012/4/3 18:09,Food,3,33.459221058139526,-112.07305906104652,5,3,-1,2012-04-03 18:09:00,2012-04-03 11:09:00
8786,18879,4d86fa3c61676dcb90e8aae4,-420,33.524370000000005,-112.024358,Convention Center,Phoenix,US,18:13:30,2012403,2012/4/3 18:13,Professional & Other Places,1,33.4931607434555,-112.00071044502614,2,1,-1,2012-04-03 18:13:00,2012-04-03 11:13:00
15860,47925,449e9fb9f964a520c0341fe3,-420,33.435624,-112.003066,Airport,Phoenix,US,18:20:05,2012403,2012/4/3 18:20,Travel & Transport,6,33.41852281040892,-111.98156154646841,1,6,-1,2012-04-03 18:20:00,2012-04-03 11:20:00
464,168,4e7fa10fb8f76e28c2deef16,-420,33.503444,-112.073675,City,Phoenix,US,18:23:48,2012403,2012/4/3 18:23,Outdoors & Recreation,4,33.52096371989529,-112.0698587486911,6,4,-1,2012-04-03 18:23:00,2012-04-03 11:23:00
19493,65794,4a901a25f964a520021620e3,-420,33.61045,-112.147466,Coffee Shop,Phoenix,US,18:27:40,2012403,2012/4/3 18:27,Drink,2,33.5951913539823,-112.15487550884956,7,2,-1,2012-04-03 18:27:00,2012-04-03 11:27:00
4416,6135,4d7fcbf23633a093baf2969d,-420,33.456502,-112.273548,Sandwich Place,Phoenix,US,18:29:58,2012403,2012/4/3 18:29,Food,0,33.5040619112426,-112.25862841420118,3,8,-1,2012-04-03 18:29:00,2012-04-03 11:29:00
15861,47925,4bc08e9a74a9a5938b2dd0f6,-420,33.43547,-111.997032,Airport Terminal,Phoenix,US,18:32:56,2012403,2012/4/3 18:32,Travel & Transport,6,33.41852281040892,-111.98156154646841,1,6,-1,2012-04-03 18:32:00,2012-04-03 11:32:00
9612,21659,4b6c79fdf964a520433d2ce3,-420,33.395368,-111.959878,Office,Phoenix,US,18:32:53,2012403,2012/4/3 18:32,Professional & Other Places,6,33.41852281040892,-111.98156154646841,1,6,-1,2012-04-03 18:32:00,2012-04-03 11:32:00
12020,28379,4e559d4fe4cd779e8338d337,-420,33.455487,-111.965726,Coworking Space,Phoenix,US,18:37:55,2012403,2012/4/3 18:37,Professional & Other Places,6,33.41852281040892,-111.98156154646841,5,6,-1,2012-04-03 18:37:00,2012-04-03 11:37:00
8850,18884,42474900f964a52084201fe3,-420,33.608982,-112.161211,University,Phoenix,US,18:53:44,2012403,2012/4/3 18:53,College & University,2,33.5951913539823,-112.15487550884956,8,4,-1,2012-04-03 18:53:00,2012-04-03 11:53:00
26354,123626,4a66768cf964a52097c81fe3,-420,33.45291,-112.07553,Gym / Fitness Center,Phoenix,US,19:01:58,2012403,2012/4/3 19:01,Outdoors & Recreation,3,33.459221058139526,-112.07305906104652,3,3,-1,2012-04-03 19:01:00,2012-04-03 12:01:00
24377,101750,449e9fb9f964a520c0341fe3,-420,33.435624,-112.003066,Airport,Phoenix,US,19:12:56,2012403,2012/4/3 19:12,Travel & Transport,6,33.41852281040892,-111.98156154646841,2,6,-1,2012-04-03 19:12:00,2012-04-03 12:12:00
